,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04
Bronx,1900.0,1900.0,1900.0,1895.0,1879.0,1900.0,1900.0,1849.0,1853.0,1899.0,1850.0,1875.0,1895.0,1895.0,1900.0,1900.0,1950.0,2000.0,1975.0,1950.0,1930.0,1950.0,1975.0,1998.0,2000.0,1995.0,1999.0,2000.0,1995.0,1995.0,1933.0,1907.0,1900.0,1900.0,1949.0,1924.0,1950.0,2000.0,2000.0,2050.0,2094.0,2035.0,2032.0,2100.0,2100.0,2078.0,2195.0,2200.0,2150.0,2250.0,2250.0,2300.0,2300.0,2299.0,2295.0,2295.0,2250.0,2250.0,2350.0,2344.0,2495.0
Brooklyn,2500.0,2595.0,2600.0,2695.0,2680.0,2600.0,2550.0,2500.0,2500.0,2500.0,2500.0,2500.0,2595.0,2600.0,2650.0,2700.0,2700.0,2699.0,2680.0,2600.0,2599.0,2600.0,2650.0,2671.0,2700.0,2700.0,2699.0,2695.0,2600.0,2500.0,2461.0,2400.0,2400.0,2399.0,2399.0,2400.0,2400.0,2450.0,2500.0,2600.0,2650.0,2695.0,2600.0,2600.0,2680.0,2750.0,2800.0,2850.0,2950.0,3085.0,3200.0,3355.0,3399.0,3300.0,3200.0,3150.0,3100.0,3199.0,3199.0,3200.0,3300.0
Manhattan,3250.0,3300.0,3300.0,3300.0,3300.0,3297.0,3250.0,3250.0,3295.0,3275.0,3300.0,3300.0,3400.0,3455.0,3500.0,3499.0,3495.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3450.0,3300.0,3200.0,3100.0,2996.0,2907.0,2812.0,2800.0,2795.0,2760.0,2795.0,2795.0,2800.0,2895.0,2950.0,3000.0,3100.0,3200.0,3300.0,3475.0,3500.0,3700.0,3800.0,3854.0,4000.0,4000.0,4075.0,4170.0,4115.0,4152.0,4100.0,4075.0,4139.0,4200.0,4295.0,4250.0,4395.0
Queens,2200.0,2200.0,2200.0,2250.0,2299.0,2275.0,2200.0,2195.0,2150.0,2200.0,2200.0,2200.0,2250.0,2250.0,2300.0,2300.0,2300.0,2300.0,2300.0,2299.0,2250.0,2300.0,2350.0,2344.0,2395.0,2350.0,2300.0,2300.0,2200.0,2200.0,2100.0,2100.0,2025.0,2000.0,2000.0,2000.0,2050.0,2100.0,2195.0,2200.0,2250.0,2250.0,2250.0,2250.0,2300.0,2300.0,2300.0,2315.0,2400.0,2500.0,2600.0,2600.0,2608.0,2650.0,2650.0,2600.0,2600.0,2600.0,2600.0,2645.0,2700.0
