Unnamed: 0,2015,2015.1,2015.2,2015.3,2015.4,2016,2016.1,2016.2,2016.3,2016.4,2017,2017.1,2017.2,2017.3,2017.4,2018,2018.1,2018.2,2018.3,2018.4,2019,2019.1,2019.2,2019.3,2019.4,2020,2020.1,2020.2,2020.3,2020.4,2021,2021.1,2021.2,2021.3,2021.4,2022,2022.1,2022.2,2022.3,2022.4
Astoria,2241.25,2200.0,2298.33,2266.67,2200.0,2286.17,2233.33,2300.0,2328.0,2283.33,2228.33,2216.67,2216.67,2283.33,2196.67,2178.83,2124.33,2166.67,2249.33,2175.0,2281.0,2199.67,2257.67,2350.0,2316.67,2193.5,2342.67,2276.67,2156.33,1998.33,2077.0,1941.67,1983.0,2166.67,2216.67,2540.33,2305.33,2509.33,2715.0,2631.67
Auburndale,1992.0,2147.5,2030.0,1948.33,1845.0,1985.18,1739.33,2058.33,2065.33,2124.0,2043.58,2128.33,2195.0,1979.33,1871.67,2122.42,2300.0,2131.0,2079.33,1979.33,2008.83,2028.33,1965.33,1982.67,2059.0,2002.64,1964.33,1996.5,1972.67,2075.0,2205.44,2169.0,2065.0,2370.0,2407.0,2495.86,2500.0,2485.67,2557.0,2400.0
Bath Beach,1815.5,1758.33,1821.0,1716.67,1966.0,2041.08,1906.67,2158.33,2099.33,2000.0,1943.42,1966.67,1966.67,1925.0,1915.33,1824.83,1941.67,1957.67,1683.33,1716.67,1743.25,1656.67,1706.67,1796.33,1813.33,1849.55,1906.67,1837.5,1923.33,1726.67,1739.75,1749.0,1760.67,1716.33,1733.0,1827.0,1758.33,1831.67,1911.67,1806.33
Battery Park City,4493.17,3925.0,4432.67,4748.33,4866.67,4533.0,4602.0,4700.0,4721.67,4108.33,4223.83,4026.67,4246.0,4458.33,4164.33,4505.25,4106.67,4483.67,4835.33,4595.33,4797.25,4386.67,4855.0,4884.33,5063.0,4168.08,4259.33,4396.67,4183.0,3833.33,4226.17,3881.67,3997.67,4375.0,4650.33,5166.42,4943.0,5020.0,5504.33,5198.33
Bay Ridge,1806.92,1716.33,1800.0,1849.67,1861.67,2037.5,1966.67,2033.33,2050.0,2100.0,1940.83,1983.33,1991.67,1930.0,1858.33,1960.58,1965.0,1962.67,1949.67,1965.0,1945.0,1966.67,1948.33,1915.0,1950.0,1949.17,2000.0,2021.67,1966.67,1808.33,1770.42,1766.67,1750.0,1781.67,1783.33,2117.75,1887.67,2141.67,2275.0,2166.67
Bayside,2287.5,2216.67,2300.0,2283.33,2350.0,2366.67,2391.67,2400.0,2341.67,2333.33,2417.42,2516.33,2400.0,2408.33,2345.0,2357.33,2383.33,2329.33,2408.33,2308.33,2120.83,2166.67,2050.0,2116.67,2150.0,2020.5,2000.0,2006.67,2062.67,2012.67,2037.17,1952.67,1925.0,2154.33,2116.67,2368.33,2175.0,2433.33,2331.67,2533.33
Bedford Park,1409.42,1387.67,1341.67,1412.33,1496.0,1454.58,1437.67,1416.67,1482.0,1482.0,1521.5,1433.33,1533.33,1550.0,1569.33,1558.58,1456.67,1531.0,1508.33,1738.33,1686.92,1711.0,1583.33,1720.33,1733.0,1704.22,1777.33,,1681.0,1654.33,1699.0,1745.67,1648.33,1721.67,1680.33,1821.17,1796.67,1799.33,1956.33,1732.33
Bedford-Stuyvesant,2350.42,2275.0,2375.0,2418.33,2333.33,2422.58,2350.0,2441.67,2482.0,2416.67,2409.58,2365.0,2423.33,2466.67,2383.33,2471.42,2348.33,2483.33,2567.33,2486.67,2546.75,2459.67,2523.33,2599.67,2604.33,2461.75,2551.33,2545.67,2466.67,2283.33,2509.92,2254.0,2386.0,2649.67,2750.0,3017.58,2880.33,2975.0,3183.33,3031.67
Belmont,1573.92,1558.33,1500.0,1587.33,1650.0,1600.67,1533.33,1486.67,1674.33,1708.33,1711.08,1676.67,1688.33,1766.67,1712.67,1822.5,1629.33,1841.67,1939.67,1879.33,2080.08,2141.0,1879.33,2216.67,2083.33,2074.67,1762.67,2164.33,2230.0,2141.67,2121.83,2174.33,2138.33,2058.33,2116.33,2142.25,1755.67,2275.0,2163.33,2375.0
Bensonhurst,1655.67,1641.67,1682.67,1615.0,1683.33,1830.92,1716.0,1799.33,1933.33,1875.0,1784.25,1882.67,1758.33,1766.67,1729.33,1822.5,1750.0,1848.33,1816.67,1875.0,1796.5,1866.67,1836.0,1700.0,1783.33,1775.42,1985.67,1745.67,1758.0,1612.33,1694.83,1649.67,1666.67,1715.0,1748.0,2039.5,1891.67,2050.0,2091.33,2125.0
Boerum Hill,2885.42,2933.33,2858.33,2908.33,2841.67,3047.58,2933.33,3400.0,3016.67,2840.33,3104.83,3024.67,3032.33,3250.0,3112.33,3180.83,3000.0,3218.33,3216.67,3288.33,3273.25,2966.67,3357.33,3398.33,3370.67,3162.33,3366.33,3383.0,3117.0,2783.0,2884.08,2658.33,2812.0,2866.0,3200.0,3817.83,3450.0,4006.33,3850.0,3965.0
Borough Park,1659.33,1580.0,1658.33,1640.67,1758.33,1827.33,1648.33,1800.0,1961.0,1900.0,1807.33,1925.0,1748.33,1773.67,1782.33,1777.75,1682.67,1766.67,1836.67,1825.0,1917.08,1862.67,1875.0,1947.33,1983.33,1838.5,1973.67,1785.67,1799.0,1795.67,1814.33,1733.0,1816.33,1899.67,1808.33,2026.5,1821.0,2095.67,2116.67,2072.67
